level2,exp2
1,3816
2,3816
3,3816
4,3816
5,3816
6,3816
7,3816
8,3816
9,3816
10,3816
11,3816
12,3816
13,3816
14,3816
15,3816
16,3816
17,3816
18,3816
19,3816
20,3816
21,"3,663"
22,"3,510"
23,"3,356"
24,"3,203"
25,"3,050"
26,"2,861"
27,"2,667"
28,"2,478"
29,"2,289"
30,"2,095"
31,"1,716"
32,"1,333"
33,951
34,761
35,685
36,608
37,572
38,531
39,495
40,455
41,378
42,378
43,378
44,378
45,378
46,378
47,378
48,378
49,378
50,378
51,378
52,378
53,378
54,378
55,378
56,378
57,378
58,378
59,378
60,378
61,378
62,378
63,378
64,378
65,378
66,378
67,378
68,378
69,378
70,378
71,378
72,378
73,378
74,378
75,378
76,378
77,378
78,378
79,378
80,378
81,378
82,378
83,378
84,378
85,378
86,378
87,378
88,378
89,378
90,378
91,378
92,378
93,378
94,378
95,378
96,378
97,378
98,378
99,378
100,0
