level2,exp2
1,217448
2,217448
3,217448
4,217448
5,217448
6,217448
7,217448
8,217448
9,217448
10,217448
11,217448
12,217448
13,217448
14,217448
15,217448
16,217448
17,217448
18,217448
19,217448
20,217448
21,217448
22,217448
23,217448
24,217448
25,217448
26,217448
27,217448
28,217448
29,217448
30,217448
31,217448
32,217448
33,217448
34,217448
35,217448
36,217448
37,217448
38,217448
39,217448
40,217448
41,217448
42,217448
43,217448
44,217448
45,217448
46,217448
47,217448
48,217448
49,217448
50,217448
51,217448
52,217448
53,217448
54,217448
55,217448
56,217448
57,217448
58,217448
59,217448
60,217448
61,217448
62,217448
63,217448
64,217448
65,217448
66,217448
67,217448
68,217448
69,217448
70,217448
71,217448
72,217448
73,217448
74,217448
75,217448
76,217448
77,217448
78,217448
79,217448
80,217448
81,217448
82,208748
83,200053
84,191353
85,182654
86,173959
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
