level2,exp2
1,108507
2,108507
3,108507
4,108507
5,108507
6,108507
7,108507
8,108507
9,108507
10,108507
11,108507
12,108507
13,108507
14,108507
15,108507
16,108507
17,108507
18,108507
19,108507
20,108507
21,108507
22,108507
23,108507
24,108507
25,108507
26,108507
27,108507
28,108507
29,108507
30,108507
31,108507
32,108507
33,108507
34,108507
35,108507
36,108507
37,108507
38,108507
39,108507
40,108507
41,108507
42,108507
43,108507
44,108507
45,108507
46,108507
47,108507
48,108507
49,108507
50,108507
51,108507
52,108507
53,108507
54,108507
55,108507
56,108507
57,108507
58,108507
59,108507
60,108507
61,108507
62,108507
63,108507
64,108507
65,108507
66,108507
67,108507
68,108507
69,108507
70,108507
71,104167
72,99825
73,95485
74,91144
75,86803
76,81379
77,75951
78,70528
79,65100
80,59677
81,48825
82,37972
83,27126
84,21698
85,19527
86,17357
87,16274
88,15187
89,14104
90,13016
91,10846
92,10846
93,10846
94,10846
95,10846
96,10846
97,10846
98,10846
99,10846
100,0
