level2,exp2
1,15693
2,15693
3,15693
4,15693
5,15693
6,15693
7,15693
8,15693
9,15693
10,15693
11,15693
12,15693
13,15693
14,15693
15,15693
16,15693
17,15693
18,15693
19,15693
20,15693
21,15693
22,15693
23,15693
24,15693
25,15693
26,15693
27,15693
28,15693
29,15693
30,15693
31,15693
32,15693
33,15693
34,15693
35,15693
36,15693
37,15693
38,15693
39,15693
40,15693
41,15063
42,14437
43,13807
44,13180
45,12554
46,11767
47,10982
48,10199
49,9415
50,8628
51,7060
52,5489
53,3922
54,3138
55,2823
56,2508
57,2350
58,2193
59,2039
60,1882
61,1882
62,1882
63,1882
64,1882
65,1882
66,1882
67,1882
68,1882
69,1882
70,1882
71,1882
72,1882
73,1882
74,1882
75,1882
76,1882
77,1882
78,1882
79,1882
80,1882
81,1882
82,1882
83,1882
84,1882
85,1882
86,1882
87,1882
88,1882
89,1882
90,1882
91,1882
92,1882
93,1882
94,1882
95,1882
96,1882
97,1882
98,1882
99,1882
100,0
