level2,exp2
1,247422
2,247422
3,247422
4,247422
5,247422
6,247422
7,247422
8,247422
9,247422
10,247422
11,247422
12,247422
13,247422
14,247422
15,247422
16,247422
17,247422
18,247422
19,247422
20,247422
21,247422
22,247422
23,247422
24,247422
25,247422
26,247422
27,247422
28,247422
29,247422
30,247422
31,247422
32,247422
33,247422
34,247422
35,247422
36,247422
37,247422
38,247422
39,247422
40,247422
41,247422
42,247422
43,247422
44,247422
45,247422
46,247422
47,247422
48,247422
49,247422
50,247422
51,247422
52,247422
53,247422
54,247422
55,247422
56,247422
57,247422
58,247422
59,247422
60,247422
61,247422
62,247422
63,247422
64,247422
65,247422
66,247422
67,247422
68,247422
69,247422
70,247422
71,247422
72,247422
73,247422
74,247422
75,247422
76,247422
77,247422
78,247422
79,247422
80,247422
81,247422
82,247422
83,247422
84,237524
85,227626
86,217728
87,207835
88,197937
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
