level2,exp2
1,707254
2,707254
3,707254
4,707254
5,707254
6,707254
7,707254
8,707254
9,707254
10,707254
11,707254
12,707254
13,707254
14,707254
15,707254
16,707254
17,707254
18,707254
19,707254
20,707254
21,707254
22,707254
23,707254
24,707254
25,707254
26,707254
27,707254
28,707254
29,707254
30,707254
31,707254
32,707254
33,707254
34,707254
35,707254
36,707254
37,707254
38,707254
39,707254
40,707254
41,707254
42,707254
43,707254
44,707254
45,707254
46,707254
47,707254
48,707254
49,707254
50,707254
51,707254
52,707254
53,707254
54,707254
55,707254
56,707254
57,707254
58,707254
59,707254
60,707254
61,707254
62,707254
63,707254
64,707254
65,707254
66,707254
67,707254
68,707254
69,707254
70,707254
71,707254
72,707254
73,707254
74,707254
75,707254
76,707254
77,707254
78,707254
79,707254
80,707254
81,707254
82,707254
83,707254
84,707254
85,707254
86,707254
87,707254
88,707254
89,707254
90,707254
91,707254
92,707254
93,707254
94,707254
95,707254
96,707254
97,707254
98,678962
99,650675
100,0
