level2,exp2
1,552018
2,552018
3,552018
4,552018
5,552018
6,552018
7,552018
8,552018
9,552018
10,552018
11,552018
12,552018
13,552018
14,552018
15,552018
16,552018
17,552018
18,552018
19,552018
20,552018
21,552018
22,552018
23,552018
24,552018
25,552018
26,552018
27,552018
28,552018
29,552018
30,552018
31,552018
32,552018
33,552018
34,552018
35,552018
36,552018
37,552018
38,552018
39,552018
40,552018
41,552018
42,552018
43,552018
44,552018
45,552018
46,552018
47,552018
48,552018
49,552018
50,552018
51,552018
52,552018
53,552018
54,552018
55,552018
56,552018
57,552018
58,552018
59,552018
60,552018
61,552018
62,552018
63,552018
64,552018
65,552018
66,552018
67,552018
68,552018
69,552018
70,552018
71,552018
72,552018
73,552018
74,552018
75,552018
76,552018
77,552018
78,552018
79,552018
80,552018
81,552018
82,552018
83,552018
84,552018
85,552018
86,552018
87,552018
88,552018
89,552018
90,552018
91,552018
92,552018
93,552018
94,529938
95,507857
96,485772
97,463692
98,441612
99,414014
100,0
