level2,exp2
1,287278
2,287278
3,287278
4,287278
5,287278
6,287278
7,287278
8,287278
9,287278
10,287278
11,287278
12,287278
13,287278
14,287278
15,287278
16,287278
17,287278
18,287278
19,287278
20,287278
21,287278
22,287278
23,287278
24,287278
25,287278
26,287278
27,287278
28,287278
29,287278
30,287278
31,287278
32,287278
33,287278
34,287278
35,287278
36,287278
37,287278
38,287278
39,287278
40,287278
41,287278
42,287278
43,287278
44,287278
45,287278
46,287278
47,287278
48,287278
49,287278
50,287278
51,287278
52,287278
53,287278
54,287278
55,287278
56,287278
57,287278
58,287278
59,287278
60,287278
61,287278
62,287278
63,287278
64,287278
65,287278
66,287278
67,287278
68,287278
69,287278
70,287278
71,287278
72,287278
73,287278
74,287278
75,287278
76,287278
77,287278
78,287278
79,287278
80,287278
81,287278
82,287278
83,287278
84,287278
85,287278
86,275784
87,264296
88,252803
89,241314
90,229821
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
