level2,exp2
1,275681
2,275681
3,275681
4,275681
5,275681
6,275681
7,275681
8,275681
9,275681
10,275681
11,275681
12,275681
13,275681
14,275681
15,275681
16,275681
17,275681
18,275681
19,275681
20,275681
21,275681
22,275681
23,275681
24,275681
25,275681
26,275681
27,275681
28,275681
29,275681
30,275681
31,275681
32,275681
33,275681
34,275681
35,275681
36,275681
37,275681
38,275681
39,275681
40,275681
41,275681
42,275681
43,275681
44,275681
45,275681
46,275681
47,275681
48,275681
49,275681
50,275681
51,275681
52,275681
53,275681
54,275681
55,275681
56,275681
57,275681
58,275681
59,275681
60,275681
61,275681
62,275681
63,275681
64,275681
65,275681
66,275681
67,275681
68,275681
69,275681
70,275681
71,275681
72,275681
73,275681
74,275681
75,275681
76,275681
77,275681
78,275681
79,275681
80,275681
81,275681
82,275681
83,275681
84,275681
85,264650
86,253624
87,242598
88,231567
89,220542
90,206759
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
