level2,exp2
1,71185
2,71185
3,71185
4,71185
5,71185
6,71185
7,71185
8,71185
9,71185
10,71185
11,71185
12,71185
13,71185
14,71185
15,71185
16,71185
17,71185
18,71185
19,71185
20,71185
21,71185
22,71185
23,71185
24,71185
25,71185
26,71185
27,71185
28,71185
29,71185
30,71185
31,71185
32,71185
33,71185
34,71185
35,71185
36,71185
37,71185
38,71185
39,71185
40,71185
41,71185
42,71185
43,71185
44,71185
45,71185
46,71185
47,71185
48,71185
49,71185
50,71185
51,71185
52,71185
53,71185
54,71185
55,71185
56,71185
57,71185
58,71185
59,71185
60,71185
61,68336
62,65487
63,62642
64,59793
65,56947
66,53389
67,49826
68,46268
69,42709
70,39151
71,32030
72,24913
73,17796
74,14233
75,12811
76,11388
77,10675
78,9962
79,9252
80,8539
81,7116
82,7116
83,7116
84,7116
85,7116
86,7116
87,7116
88,7116
89,7116
90,7116
91,7116
92,7116
93,7116
94,7116
95,7116
96,7116
97,7116
98,7116
99,7116
100,0
