level2,exp2
1,480302
2,480302
3,480302
4,480302
5,480302
6,480302
7,480302
8,480302
9,480302
10,480302
11,480302
12,480302
13,480302
14,480302
15,480302
16,480302
17,480302
18,480302
19,480302
20,480302
21,480302
22,480302
23,480302
24,480302
25,480302
26,480302
27,480302
28,480302
29,480302
30,480302
31,480302
32,480302
33,480302
34,480302
35,480302
36,480302
37,480302
38,480302
39,480302
40,480302
41,480302
42,480302
43,480302
44,480302
45,480302
46,480302
47,480302
48,480302
49,480302
50,480302
51,480302
52,480302
53,480302
54,480302
55,480302
56,480302
57,480302
58,480302
59,480302
60,480302
61,480302
62,480302
63,480302
64,480302
65,480302
66,480302
67,480302
68,480302
69,480302
70,480302
71,480302
72,480302
73,480302
74,480302
75,480302
76,480302
77,480302
78,480302
79,480302
80,480302
81,480302
82,480302
83,480302
84,480302
85,480302
86,480302
87,480302
88,480302
89,480302
90,480302
91,480302
92,461092
93,441876
94,422666
95,403456
96,384241
97,360225
98,336210
99,312194
100,0
