level2,exp2
1,624956
2,624956
3,624956
4,624956
5,624956
6,624956
7,624956
8,624956
9,624956
10,624956
11,624956
12,624956
13,624956
14,624956
15,624956
16,624956
17,624956
18,624956
19,624956
20,624956
21,624956
22,624956
23,624956
24,624956
25,624956
26,624956
27,624956
28,624956
29,624956
30,624956
31,624956
32,624956
33,624956
34,624956
35,624956
36,624956
37,624956
38,624956
39,624956
40,624956
41,624956
42,624956
43,624956
44,624956
45,624956
46,624956
47,624956
48,624956
49,624956
50,624956
51,624956
52,624956
53,624956
54,624956
55,624956
56,624956
57,624956
58,624956
59,624956
60,624956
61,624956
62,624956
63,624956
64,624956
65,624956
66,624956
67,624956
68,624956
69,624956
70,624956
71,624956
72,624956
73,624956
74,624956
75,624956
76,624956
77,624956
78,624956
79,624956
80,624956
81,624956
82,624956
83,624956
84,624956
85,624956
86,624956
87,624956
88,624956
89,624956
90,624956
91,624956
92,624956
93,624956
94,624956
95,624956
96,599959
97,574962
98,549960
99,524963
100,0
