level2,exp2
1,318647
2,318647
3,318647
4,318647
5,318647
6,318647
7,318647
8,318647
9,318647
10,318647
11,318647
12,318647
13,318647
14,318647
15,318647
16,318647
17,318647
18,318647
19,318647
20,318647
21,318647
22,318647
23,318647
24,318647
25,318647
26,318647
27,318647
28,318647
29,318647
30,318647
31,318647
32,318647
33,318647
34,318647
35,318647
36,318647
37,318647
38,318647
39,318647
40,318647
41,318647
42,318647
43,318647
44,318647
45,318647
46,318647
47,318647
48,318647
49,318647
50,318647
51,318647
52,318647
53,318647
54,318647
55,318647
56,318647
57,318647
58,318647
59,318647
60,318647
61,318647
62,318647
63,318647
64,318647
65,318647
66,318647
67,318647
68,318647
69,318647
70,318647
71,318647
72,318647
73,318647
74,318647
75,318647
76,318647
77,318647
78,318647
79,318647
80,318647
81,318647
82,318647
83,318647
84,318647
85,318647
86,318647
87,305903
88,293154
89,280410
90,267661
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
