level2,exp2
1,363322
2,363322
3,363322
4,363322
5,363322
6,363322
7,363322
8,363322
9,363322
10,363322
11,363322
12,363322
13,363322
14,363322
15,363322
16,363322
17,363322
18,363322
19,363322
20,363322
21,363322
22,363322
23,363322
24,363322
25,363322
26,363322
27,363322
28,363322
29,363322
30,363322
31,363322
32,363322
33,363322
34,363322
35,363322
36,363322
37,363322
38,363322
39,363322
40,363322
41,363322
42,363322
43,363322
44,363322
45,363322
46,363322
47,363322
48,363322
49,363322
50,363322
51,363322
52,363322
53,363322
54,363322
55,363322
56,363322
57,363322
58,363322
59,363322
60,363322
61,363322
62,363322
63,363322
64,363322
65,363322
66,363322
67,363322
68,363322
69,363322
70,363322
71,363322
72,363322
73,363322
74,363322
75,363322
76,363322
77,363322
78,363322
79,363322
80,363322
81,363322
82,363322
83,363322
84,363322
85,363322
86,363322
87,363322
88,363322
89,363322
90,348789
91,334256
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
