level2,exp2
1,785988
2,785988
3,785988
4,785988
5,785988
6,785988
7,785988
8,785988
9,785988
10,785988
11,785988
12,785988
13,785988
14,785988
15,785988
16,785988
17,785988
18,785988
19,785988
20,785988
21,785988
22,785988
23,785988
24,785988
25,785988
26,785988
27,785988
28,785988
29,785988
30,785988
31,785988
32,785988
33,785988
34,785988
35,785988
36,785988
37,785988
38,785988
39,785988
40,785988
41,785988
42,785988
43,785988
44,785988
45,785988
46,785988
47,785988
48,785988
49,785988
50,785988
51,785988
52,785988
53,785988
54,785988
55,785988
56,785988
57,785988
58,785988
59,785988
60,785988
61,785988
62,785988
63,785988
64,785988
65,785988
66,785988
67,785988
68,785988
69,785988
70,785988
71,785988
72,785988
73,785988
74,785988
75,785988
76,785988
77,785988
78,785988
79,785988
80,785988
81,785988
82,785988
83,785988
84,785988
85,785988
86,785988
87,785988
88,785988
89,785988
90,785988
91,785988
92,785988
93,785988
94,785988
95,785988
96,785988
97,785988
98,785988
99,785988
100,0
